ROUTE_NUMBER,ID_VEHICLE,STOP_TIME_REAL,ID_STOP,STOP_NUMBER,ID_DIRECTION,CARRIER_BOARD_NUM
1,0,2019-09-10 09:26,3294,1,2,2479
1,0,2019-09-10 09:41,3275,7,2,2479
1,0,2019-09-10 09:44,1757,8,2,2479
1,0,2019-09-10 13:06,3446,10,2,2479
1,0,2019-09-10 13:10,3296,11,2,2479
1,0,2019-09-10 12:55,1574,3,2,2479
1,0,2019-09-10 12:57,3348,4,2,2479
1,0,2019-09-10 12:57,2394,5,2,2479
1,0,2019-09-10 13:21,2776,16,2,2479
1,0,2019-09-10 13:22,2059,17,2,2479
1,0,2019-09-10 13:25,4494,18,2,2479
1,0,2019-09-10 12:49,3294,1,2,2479
1,0,2019-09-10 11:55,1286,15,1,2479
1,0,2019-09-10 11:58,1329,16,1,2479
1,0,2019-09-10 12:02,3248,17,1,2479
1,0,2019-09-10 12:06,1569,18,1,2479
1,0,2019-09-10 12:11,2254,19,1,2479
1,0,2019-09-10 05:12,2246,1,1,2479
1,0,2019-09-10 07:05,2662,31,2,2479
1,0,2019-09-10 07:06,2875,32,2,2479
1,0,2019-09-10 07:08,3465,33,2,2479
1,0,2019-09-10 07:10,3285,34,2,2479
1,0,2019-09-10 07:13,3605,35,2,2479
1,0,2019-09-10 09:01,2106,21,1,2479
1,0,-,19096,22,1,2479
1,0,2019-09-10 09:04,19097,23,1,2479
1,0,2019-09-10 09:06,18086,24,1,2479
1,0,2019-09-10 09:07,4491,25,1,2479
1,0,2019-09-10 09:09,2087,26,1,2479
1,0,-,2312,27,1,2479
1,0,2019-09-10 12:15,1775,20,1,2479
1,0,2019-09-10 12:17,2106,21,1,2479
1,0,2019-09-10 12:19,19096,22,1,2479
1,0,2019-09-10 12:20,19097,23,1,2479
1,0,2019-09-10 12:23,18086,24,1,2479
1,0,2019-09-10 12:26,4491,25,1,2479
1,0,2019-09-10 12:28,2087,26,1,2479
1,0,2019-09-10 05:13,2424,2,1,2479
1,0,2019-09-10 05:14,2096,3,1,2479
1,0,2019-09-10 05:15,20878,4,1,2479
1,0,2019-09-10 05:16,2278,5,1,2479
1,0,2019-09-09 08:33,27114,13,1,2497
1,0,2019-09-10 12:34,2312,27,1,2479
1,0,2019-09-10 12:37,2162,28,1,2479
1,0,2019-09-09 07:19,22165,37,2,2497
1,0,2019-09-10 05:17,1672,6,1,2479
